"palette-title","palette-subtitle","palette-description","color-name","color-description","step-name","swatch-hex","hex","rgb","hsl","hsb","css","step-description"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Iron Graphite","Heavy grounded neutral for deep backgrounds or structure.","iron-graphite-1","#D1D5D8","Hex: #D1D5D8","RGB: 209, 213, 216","HSL: 206, 8, 83","HSB: 206, 3, 85","CSS: rgb(209, 213, 216)","Light tint"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Iron Graphite","Heavy grounded neutral for deep backgrounds or structure.","iron-graphite-2","#8B969F","Hex: #8B969F","RGB: 139, 150, 159","HSL: 207, 10, 58","HSB: 207, 13, 62","CSS: rgb(139, 150, 159)","Soft mid-tone"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Iron Graphite","Heavy grounded neutral for deep backgrounds or structure.","iron-graphite-3","#37474F","Hex: #37474F","RGB: 55, 71, 79","HSL: 200, 18, 26","HSB: 200, 30, 31","CSS: rgb(55, 71, 79)","Base color"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Iron Graphite","Heavy grounded neutral for deep backgrounds or structure.","iron-graphite-4","#263238","Hex: #263238","RGB: 38, 50, 56","HSL: 200, 19, 18","HSB: 200, 32, 22","CSS: rgb(38, 50, 56)","Deep shade"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Iron Graphite","Heavy grounded neutral for deep backgrounds or structure.","iron-graphite-5","#1A2126","Hex: #1A2126","RGB: 26, 33, 38","HSL: 205, 19, 13","HSB: 205, 32, 15","CSS: rgb(26, 33, 38)","Darkest accent"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Cobalt Frost","Crisp professional blue for tech-oriented UI elements.","cobalt-frost-1","#E1F5FE","Hex: #E1F5FE","RGB: 225, 245, 254","HSL: 199, 94, 94","HSB: 199, 11, 100","CSS: rgb(225, 245, 254)","Light tint"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Cobalt Frost","Crisp professional blue for tech-oriented UI elements.","cobalt-frost-2","#81D4FA","Hex: #81D4FA","RGB: 129, 212, 250","HSL: 199, 92, 74","HSB: 199, 48, 98","CSS: rgb(129, 212, 250)","Bright highlight"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Cobalt Frost","Crisp professional blue for tech-oriented UI elements.","cobalt-frost-3","#0288D1","Hex: #0288D1","RGB: 2, 136, 209","HSL: 201, 98, 41","HSB: 201, 99, 82","CSS: rgb(2, 136, 209)","Base color"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Cobalt Frost","Crisp professional blue for tech-oriented UI elements.","cobalt-frost-4","#01579B","Hex: #01579B","RGB: 1, 87, 155","HSL: 206, 99, 31","HSB: 206, 99, 61","CSS: rgb(1, 87, 155)","Deep shade"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Cobalt Frost","Crisp professional blue for tech-oriented UI elements.","cobalt-frost-5","#002F56","Hex: #002F56","RGB: 0, 47, 86","HSL: 207, 100, 17","HSB: 207, 100, 34","CSS: rgb(0, 47, 86)","Darkest accent"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Safety Ember","High-contrast orange for critical CTAs and visibility.","safety-ember-1","#FFE0B2","Hex: #FFE0B2","RGB: 255, 224, 178","HSL: 36, 100, 85","HSB: 36, 30, 100","CSS: rgb(255, 224, 178)","Light tint"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Safety Ember","High-contrast orange for critical CTAs and visibility.","safety-ember-2","#FFB74D","Hex: #FFB74D","RGB: 255, 183, 77","HSL: 36, 100, 65","HSB: 36, 70, 100","CSS: rgb(255, 183, 77)","Bright highlight"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Safety Ember","High-contrast orange for critical CTAs and visibility.","safety-ember-3","#F57C00","Hex: #F57C00","RGB: 245, 124, 0","HSL: 30, 100, 48","HSB: 30, 100, 96","CSS: rgb(245, 124, 0)","Base color"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Safety Ember","High-contrast orange for critical CTAs and visibility.","safety-ember-4","#E65100","Hex: #E65100","RGB: 230, 81, 0","HSL: 21, 100, 45","HSB: 21, 100, 90","CSS: rgb(230, 81, 0)","Deep shade"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Safety Ember","High-contrast orange for critical CTAs and visibility.","safety-ember-5","#BF360C","Hex: #BF360C","RGB: 191, 54, 12","HSL: 14, 88, 40","HSB: 14, 94, 75","CSS: rgb(191, 54, 12)","Darkest accent"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Steel Mist","Functional light-gray for borders and secondary text.","steel-mist-1","#F5F7F8","Hex: #F5F7F8","RGB: 245, 247, 248","HSL: 195, 14, 97","HSB: 195, 1, 97","CSS: rgb(245, 247, 248)","Lightest tint"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Steel Mist","Functional light-gray for borders and secondary text.","steel-mist-2","#E0E4E7","Hex: #E0E4E7","RGB: 224, 228, 231","HSL: 206, 12, 89","HSB: 206, 3, 91","CSS: rgb(224, 228, 231)","Soft mid-tone"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Steel Mist","Functional light-gray for borders and secondary text.","steel-mist-3","#B0BEC5","Hex: #B0BEC5","RGB: 176, 190, 197","HSL: 200, 18, 73","HSB: 200, 11, 77","CSS: rgb(176, 190, 197)","Base color"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Steel Mist","Functional light-gray for borders and secondary text.","steel-mist-4","#78909C","Hex: #78909C","RGB: 120, 144, 156","HSL: 200, 15, 54","HSB: 200, 23, 61","CSS: rgb(120, 144, 156)","Deep shade"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Steel Mist","Functional light-gray for borders and secondary text.","steel-mist-5","#455A64","Hex: #455A64","RGB: 69, 90, 100","HSL: 200, 18, 33","HSB: 200, 31, 39","CSS: rgb(69, 90, 100)","Darkest accent"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Obsidian Glass","Deep near-black for headers and dark-mode depth.","obsidian-glass-1","#CFD8DC","Hex: #CFD8DC","RGB: 207, 216, 220","HSL: 200, 18, 84","HSB: 200, 6, 86","CSS: rgb(207, 216, 220)","Light tint"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Obsidian Glass","Deep near-black for headers and dark-mode depth.","obsidian-glass-2","#90A4AE","Hex: #90A4AE","RGB: 144, 164, 174","HSL: 200, 16, 62","HSB: 200, 17, 68","CSS: rgb(144, 164, 174)","Soft mid-tone"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Obsidian Glass","Deep near-black for headers and dark-mode depth.","obsidian-glass-3","#212121","Hex: #212121","RGB: 33, 33, 33","HSL: 0, 0, 13","HSB: 0, 0, 13","CSS: rgb(33, 33, 33)","Base color"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Obsidian Glass","Deep near-black for headers and dark-mode depth.","obsidian-glass-4","#121212","Hex: #121212","RGB: 18, 18, 18","HSL: 0, 0, 7","HSB: 0, 0, 7","CSS: rgb(18, 18, 18)","Deep shade"
"Arctic Foundry","Precision Meets Resilience","A professional industrial palette combining cold blues and deep charcoals with a safety orange accent. Best for architecture, tech manufacturing, and engineering brands.","Obsidian Glass","Deep near-black for headers and dark-mode depth.","obsidian-glass-5","#000000","Hex: #000000","RGB: 0, 0, 0","HSL: 0, 0, 0","HSB: 0, 0, 0","CSS: rgb(0, 0, 0)","True Black"